"Source:","/Users/sreenieadara/Documents/electrical/PMS/PMS/PMS.kicad_sch"
"Date:","Wednesday, March 23, 2022 at 09:35:46 AM"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","DigiKey Part Number","Height","Manufacturer_Name","Manufacturer_Part_Number","TME Part Number"
"","","C1",".1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","399-C0805C104M5RAC7800TR-ND","","","",""
"","","C2","4.7uF","Device:C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","~","","","","399-3696-1-ND","","","",""
"","","C3","4.7uF","Device:C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","~","","","","399-3696-1-ND","","","",""
"","","C4",".1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","399-C0805C104M5RAC7800TR-ND","","","",""
"","","C5",".1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","399-C0805C104M5RAC7800TR-ND","","","",""
"","","C6",".1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","399-C0805C104M5RAC7800TR-ND","","","",""
"","","C7",".1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","399-C0805C104M5RAC7800TR-ND","","","",""
"","","C8","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","399-C0805C106K4PAC7210CT-ND","","","",""
"","","C12","1 uF","Device:C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","~","","","","399-18012-1-ND","","","",""
"","","F1","30A","Device:Fuse","LIB_3576:3576","~","","","","36-3576-ND","","","",""
"","","F2","7.5+ A","Device:Fuse","LIB_3576:3576","~","","","","36-3576-ND","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_ISO14580","~","","","","","","","",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_ISO14580","~","","","","","","","",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_ISO14580","~","","","","","","","",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_ISO14580","~","","","","","","","",""
"","","IC1","TMCS1107A1BQDRQ1","TMCS1107A1BQDRQ1:TMCS1107A1BQDRQ1","TMCS1107A1BQDRQ1:SOIC127P600X175-8N","https://www.ti.com/lit/ds/symlink/tmcs1107-q1.pdf?ts=1634009705469&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526searchTerm%253DTMCS1107A4UQDRQ1%2526nr%253D2","","","Board Mount Current Sensors AEC-Q100, +/-420-V isolated Hall-effect current sensor with internal reference 8-SOIC -40 to 125","296-TMCS1107A1BQDRQ1TR-ND","1.75","Texas Instruments","TMCS1107A1BQDRQ1",""
"","","J1","XT90PW-M","XT90PW-M:XT90PW-M","XT90PW-M:XT90PWM","https://www.tme.eu/Document/9b8d0c5eb7094295f3d3112c214d3ade/XT60PW%20SPEC.pdf","","","Socket; DC supply; XT90; male; PIN: 2; on PCBs; THT; Colour: yellow","","8.4","Changzou Amass Elec","XT90PW-M",""
"","","J2","OSTYK44105030","OSTYK44105030:OSTYK44105030","LIB_OSTYK44105030:OSTYK44105030","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/d99c7470f76f3068913cb19c872dbd9c.pdf","OSTYK44105030","https://www.arrow.com/en/products/ostyk44105030/on-shore-technology","OSTYK44105030","ED2974-ND","14.3","On-Shore Technology, Inc","OSTYK44105030",""
"","","J4","XT60PW-F","XT60PW-F:XT60PW-F","LIB_XT60PW-F:XT60PWF","https://www.tme.eu/Document/9b8d0c5eb7094295f3d3112c214d3ade/XT60PW%20SPEC.pdf","","","Socket; DC supply; XT60; male; PIN: 2; on PCBs; THT; Colour: yellow","","8.4","Changzou Amass Elec","XT60PW-M","XT60PW-M"
"","","J5","XT90PW-F","XT90PW-F:XT90PW-F","XT90PW-F:XT90PW-F","https://www.tme.com/Document/7357a049cc8e5ea73e34d2124a313a81/XT90PW.pdf","","","Socket; DC supply; XT90; female; PIN: 2; on PCBs; THT; Colour: yellow","","8.4","Changzou Amass Elec","XT90PW-F",""
"","","J6","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical","~","","","","455-2231-ND","","","",""
"","","J7","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","~","","","","455-2247-ND","","","",""
"","","JP1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm","~","","","","","","","",""
"","","R1","10M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CR0805-JW-106ELFTR-ND","","","",""
"","","R2","2M","Device:R","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~","","","","CR0603-JW-205ELFTR-ND","","","",""
"","","R3","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CR0805-JW-105ELFTR-ND","","","",""
"","","R4","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CR0805-JW-105ELFTR-ND","","","",""
"","","R5","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CR0805-JW-103ELFTR-ND","","","",""
"","","R6","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CR0805-JW-103ELFTR-ND","","","",""
"","","R7","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R8","2M","Device:R","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~","","","","","","","",""
"","","U1","ADC101C027CIMK","Analog_ADC:ADC101C021CIMK","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/adc101c021.pdf","","","","ADC101C027CIMK/NOPBTR-ND","","","",""
"","","U2","ADC101C027CIMK","Analog_ADC:ADC101C021CIMK","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/adc101c021.pdf","","","","ADC101C027CIMK/NOPBTR-ND","","","",""
"","","U4","REF195","Reference_Voltage:REF195","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/static/imported-files/data_sheets/REF19xSeries.pdf","","","","REF195FSZ-REELCT-ND","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","DigiKey Part Number","Height","Manufacturer_Name","Manufacturer_Part_Number","TME Part Number"
"1","5","C1, C4, C5, C6, C7",".1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","399-C0805C104M5RAC7800TR-ND","","","",""
"2","2","C2, C3","4.7uF","Device:C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","~","","","","399-3696-1-ND","","","",""
"3","1","C8","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","399-C0805C106K4PAC7210CT-ND","","","",""
"4","1","C12","1 uF","Device:C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","~","","","","399-18012-1-ND","","","",""
"5","1","F1","30A","Device:Fuse","LIB_3576:3576","~","","","","36-3576-ND","","","",""
"6","1","F2","7.5+ A","Device:Fuse","LIB_3576:3576","~","","","","36-3576-ND","","","",""
"7","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_ISO14580","~","","","","","","","",""
"8","1","IC1","TMCS1107A1BQDRQ1","TMCS1107A1BQDRQ1:TMCS1107A1BQDRQ1","TMCS1107A1BQDRQ1:SOIC127P600X175-8N","https://www.ti.com/lit/ds/symlink/tmcs1107-q1.pdf?ts=1634009705469&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526searchTerm%253DTMCS1107A4UQDRQ1%2526nr%253D2","","","Board Mount Current Sensors AEC-Q100, +/-420-V isolated Hall-effect current sensor with internal reference 8-SOIC -40 to 125","296-TMCS1107A1BQDRQ1TR-ND","1.75","Texas Instruments","TMCS1107A1BQDRQ1",""
"9","1","J1","XT90PW-M","XT90PW-M:XT90PW-M","XT90PW-M:XT90PWM","https://www.tme.eu/Document/9b8d0c5eb7094295f3d3112c214d3ade/XT60PW%20SPEC.pdf","","","Socket; DC supply; XT90; male; PIN: 2; on PCBs; THT; Colour: yellow","","8.4","Changzou Amass Elec","XT90PW-M",""
"10","1","J2","OSTYK44105030","OSTYK44105030:OSTYK44105030","LIB_OSTYK44105030:OSTYK44105030","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/d99c7470f76f3068913cb19c872dbd9c.pdf","OSTYK44105030","https://www.arrow.com/en/products/ostyk44105030/on-shore-technology","OSTYK44105030","ED2974-ND","14.3","On-Shore Technology, Inc","OSTYK44105030",""
"11","1","J4","XT60PW-F","XT60PW-F:XT60PW-F","LIB_XT60PW-F:XT60PWF","https://www.tme.eu/Document/9b8d0c5eb7094295f3d3112c214d3ade/XT60PW%20SPEC.pdf","","","Socket; DC supply; XT60; male; PIN: 2; on PCBs; THT; Colour: yellow","","8.4","Changzou Amass Elec","XT60PW-M","XT60PW-M"
"12","1","J5","XT90PW-F","XT90PW-F:XT90PW-F","XT90PW-F:XT90PW-F","https://www.tme.com/Document/7357a049cc8e5ea73e34d2124a313a81/XT90PW.pdf","","","Socket; DC supply; XT90; female; PIN: 2; on PCBs; THT; Colour: yellow","","8.4","Changzou Amass Elec","XT90PW-F",""
"13","1","J6","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical","~","","","","455-2231-ND","","","",""
"14","1","J7","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","~","","","","455-2247-ND","","","",""
"15","1","JP1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm","~","","","","","","","",""
"16","1","R1","10M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CR0805-JW-106ELFTR-ND","","","",""
"17","2","R2, R8","2M","Device:R","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~","","","","CR0603-JW-205ELFTR-ND","","","",""
"18","3","R3, R4, R7","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CR0805-JW-105ELFTR-ND","","","",""
"19","2","R5, R6","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CR0805-JW-103ELFTR-ND","","","",""
"20","2","U1, U2","ADC101C027CIMK","Analog_ADC:ADC101C021CIMK","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/adc101c021.pdf","","","","ADC101C027CIMK/NOPBTR-ND","","","",""
"21","1","U4","REF195","Reference_Voltage:REF195","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/static/imported-files/data_sheets/REF19xSeries.pdf","","","","REF195FSZ-REELCT-ND","","","",""
